year,subject,examType,fileName,origin,sourcePath,sourceUrl,sha256,bytes,previousPdfFileName
2020,verbal,even,LEET-2020-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2020/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=3&select=&key=&jjubi=&admin_id=&board_seqnum=70784&row_number=24,aaa994b9f6983c55329cc4b7ee0b9f49ca0531f26d57627e4d3d5816021c1d3c,815144,LEET-2020-verbal-even-viewer.pdf
2020,reasoning,odd,LEET-2020-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2020/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2020/,d6f972e1946a717bbf57c33866eca155ee07cee689364083ee9dc59009887d17,8543778,
2020,reasoning,even,LEET-2020-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2020/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=3&select=&key=&jjubi=&admin_id=&board_seqnum=70785&row_number=23,7d10087e2d9e7a4c5431586b3d6bd7479cec705f00fc0f958dbf5d54ddf0b4ea,794979,LEET-2020-reasoning-even-viewer.pdf
2021,verbal,odd,LEET-2021-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2021/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2021/,1546be53599cc186a970ff22fee85b5721e9954acb334cd83b06df74a2f17247,9355215,
2021,verbal,even,LEET-2021-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2021/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=3&select=&key=&jjubi=&admin_id=&board_seqnum=75256&row_number=21,c79c1f79444c21d57fc9817cf9825709d87d3efabc8fbe7a9676d4e6ae4d45a7,679019,LEET-2021-verbal-even-viewer.pdf
2021,reasoning,odd,LEET-2021-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2021/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2021/,aa296ae20018d9f16f48898082f8627edad1e0e512c64a27ec86f31cb2d03b8b,10293144,
2021,reasoning,even,LEET-2021-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2021/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=2&select=&key=&jjubi=&admin_id=&board_seqnum=75257&row_number=20,bdeb8535124b0b612323aec0640dc76109481b20d294e14923212987e5078bce,562782,LEET-2021-reasoning-even-viewer.pdf
2022,verbal,odd,LEET-2022-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2022/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2022/,e00f065644591dcd965a6439c3119906e3106bd4bdd4354ac158b6cae9ef4077,13125220,
2022,verbal,even,LEET-2022-verbal-even.pdf,Downloaded PDF,src/public/past-exams/2022/verbal-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=2&select=&key=&jjubi=&admin_id=&board_seqnum=78850&row_number=18,f9713a4f353fb319a99c34b5d9d0b23c5d1b1dabe9e898e8ca9bb4c215302539,13139947,
2022,reasoning,odd,LEET-2022-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2022/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2022/,310efdab1e261fdfaad858ee226711ccb4ef176ea7f0d57a0716c88945a67c9c,15195982,
2022,reasoning,even,LEET-2022-reasoning-even.pdf,Downloaded PDF,src/public/past-exams/2022/reasoning-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=2&select=&key=&jjubi=&admin_id=&board_seqnum=78851&row_number=17,b65660b5416991083b15196b7ef1c98c6710c6717294f2ed103cbf5f68203d51,15216743,
2023,verbal,odd,LEET-2023-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2023/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2023/,97e2645c41f96f7efcf59da623662124ad4facfae77d49d203a2945ca3cc9efb,16818037,
2023,verbal,even,LEET-2023-verbal-even.pdf,Downloaded PDF,src/public/past-exams/2023/verbal-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=2&select=&key=&jjubi=&admin_id=&board_seqnum=80627&row_number=14,988c6c0623cc04fb1bbcdd887668529b51f5c13261f1a026b86921c9baa23737,16841153,
2023,reasoning,odd,LEET-2023-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2023/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2023/,a54c7994447a0f41d93a5f88335b4384d54abcd32f12d6dffd8ca17bdc8bc91b,19039705,
2023,reasoning,even,LEET-2023-reasoning-even.pdf,Downloaded PDF,src/public/past-exams/2023/reasoning-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=2&select=&key=&jjubi=&admin_id=&board_seqnum=80628&row_number=13,9cadb2768a4a3754dacf600f016a68b058d5be26d03bd98a1af6558fc22e26cb,19068357,
2024,verbal,odd,LEET-2024-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2024/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2024/,6433fdbeafa147d4478559fc617719cd07b60533fc910b2b4b4a3834eee9cfda,815670,
2024,verbal,even,LEET-2024-verbal-even.pdf,Downloaded PDF,src/public/past-exams/2024/verbal-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=2&select=&key=&jjubi=&admin_id=&board_seqnum=83568&row_number=12,12f47a3fc17c134a6311a1b6315a0bbf04e43870e893f1b6af43a8767e2ca9bd,834549,
2024,reasoning,odd,LEET-2024-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2024/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2024/,cd23dc64ad29160e530c942980a2504d7b8ae3d2e0bd1af11a95968ef28ed97d,942648,
2024,reasoning,even,LEET-2024-reasoning-even.pdf,Downloaded PDF,src/public/past-exams/2024/reasoning-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=2&select=&key=&jjubi=&admin_id=&board_seqnum=83569&row_number=11,d5b20133af593100b9a47fff40105ebe02f65d7678d6422ecaa29b51337532ad,967546,
2025,verbal,odd,LEET-2025-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2025/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2025/,4cc806c4725b69729aca983e32d99f66f22e17e65356fd29cfc3460ff9f0118b,1160933,
2025,verbal,even,LEET-2025-verbal-even.pdf,Downloaded PDF,src/public/past-exams/2025/verbal-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=1&select=&key=&jjubi=&admin_id=&board_seqnum=84810&row_number=9,9bf4120878f6c4026b8b19f06281130199f41c484765e37af2e2df618526a41f,1179850,
2025,reasoning,odd,LEET-2025-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2025/reasoning-odd-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=1&select=&key=&jjubi=&admin_id=&board_seqnum=84811&row_number=8,e3072392fc6d61d534ce14ae8e6d2d494e16512e628a2464c302a1d22d536d51,848591,
2025,reasoning,even,LEET-2025-reasoning-even.pdf,Downloaded PDF,src/public/past-exams/2025/reasoning-even-v1.pdf,https://leet-calculator.site/exams/2025/,c97a6adf3f36f4e830ea927079f6bda22ebc5de066d5257d9a33c73ccc87ebd5,872604,
2026,verbal,odd,LEET-2026-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2026/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2026/,a3f191f3893ed6a234776c50d3664710a8f3ff9e5ed9316cd6b9d6b53b8be99b,679394,
2026,verbal,even,LEET-2026-verbal-even.pdf,Downloaded PDF,src/public/past-exams/2026/verbal-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=1&select=&key=&jjubi=&admin_id=&board_seqnum=85780&row_number=6,cedcf15296f70d49cd707220e7d5aa9504477091e32d3b34545d150fdd1a71fb,702189,
2026,reasoning,odd,LEET-2026-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2026/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2026/,b8446d779bbb9813da977ebc836464b909e830056d1ac8cc80c4e825b118b650,572379,
2026,reasoning,even,LEET-2026-reasoning-even.pdf,Downloaded PDF,src/public/past-exams/2026/reasoning-even-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=1&select=&key=&jjubi=&admin_id=&board_seqnum=85784&row_number=5,f327d917f5c27fbedccf27fc7f4aca5b33dfafb948e31c27b1b40fe308ee9244,602191,
2027,verbal,single,LEET-2027-verbal-single.pdf,Downloaded PDF,src/public/past-exams/2027/verbal-single-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=1&select=&key=&jjubi=&admin_id=&board_seqnum=86672&row_number=3,3bf63127d89645232e9f5372247eaff000c9afdc3f2507ca81902f91db556140,8703211,
2027,reasoning,single,LEET-2027-reasoning-single.pdf,Downloaded PDF,src/public/past-exams/2027/reasoning-single-v1.pdf,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=1&select=&key=&jjubi=&admin_id=&board_seqnum=86673&row_number=2,6b77a96b185f6b442225195c64243171ab48b22595e637e741a3bd4a49400e15,10437228,
